질문,답변
외단열이 뭐야?,"외단열은 콘크리트 골조와 건물 외장재 사이에 단열재를 부착하는 방식입니다. 단열재가 건축물 겉면을 감싸주고 있기 때문에 단열 효과가 우수하며, 열이 빠져나가고 냉기가 들어오는 현상으로 생기는 결로와 곰팡이 등의 하자 발생이 적습니다. 다만, 외단열을 희망하는 경우 외부 마감재가 필수적으로 동반되어야 하며, 외부에서 진행되는 작업은 날씨의 영향을 많이 받기 때문에 너무 덥거나 습한 날에는 단열재 부착이 어렵거나 탈락하는 현상이 발생할 수 있어 숙련된 시공자의 작업이 중요합니다."
외단열은 무엇을 의미하나요?,"외단열은 콘크리트 골조와 건물 외장재 사이에 단열재를 부착하는 방식입니다. 단열재가 건축물 겉면을 감싸주고 있기 때문에 단열 효과가 우수하며, 열이 빠져나가고 냉기가 들어오는 현상으로 생기는 결로와 곰팡이 등의 하자 발생이 적습니다. 다만, 외단열을 희망하는 경우 외부 마감재가 필수적으로 동반되어야 하며, 외부에서 진행되는 작업은 날씨의 영향을 많이 받기 때문에 너무 덥거나 습한 날에는 단열재 부착이 어렵거나 탈락하는 현상이 발생할 수 있어 숙련된 시공자의 작업이 중요합니다."
플로킹 벽지가 뭐야?,벨벳 소재를 사용하여 입체감을 살린 벽지입니다. 고급스러운 분위기를 연출하며 포인트 용으로 적합하다는 장점이 있지만 가격이 비싸고 내구성이 떨어지며 관리가 힘들다는 단점이 있습니다.
플로킹 벽지란 무엇인가요?,벨벳 소재를 사용하여 입체감을 살린 벽지입니다. 고급스러운 분위기를 연출하며 포인트 용으로 적합하다는 장점이 있지만 가격이 비싸고 내구성이 떨어지며 관리가 힘들다는 단점이 있습니다.
방청 페인트는 어디에 사용해?,"방청 페인트는 철골 구조물, 자동차 및 가전제품 철재 부속품, 선박 및 컨테이너박스 외관에 사용됩니다."
방청 페인트는 어떤 상황에 사용하는 것이 좋을까요?,"방청 페인트는 철골 구조물, 자동차 및 가전제품 철재 부속품, 선박 및 컨테이너박스 외관에 사용됩니다."
송판 노출콘크리트가 뭐야?,송판 노출콘크리트란 나무무늬의 질감이 나는 콘크리트 외장재 마감을 의미합니다.
송판 노출콘크리트에 대해 좀 더 자세히 알려주세요.,송판 노출콘크리트란 나무무늬의 질감이 나는 콘크리트 외장재 마감을 의미합니다.
원목사이딩의 단점이 뭐야?,"원목사이딩의 단점은 가격대가 높고 관리가 어려우며 습기에 약해 뒤틀림, 부서짐, 수축/팽장이 생길 수 있다는 점입니다."
원목사이딩을 사용하는데 어떤 단점이 있을까요?,"원목사이딩의 단점은 가격대가 높고 관리가 어려우며 습기에 약해 뒤틀림, 부서짐, 수축/팽장이 생길 수 있다는 점입니다."
원목마루의 장점이 뭐야?,원목마루는 원목 그대로의 자연스러움을 연출하고 친환경적이며 보행감과 촉감이 좋고 충격 흡수성이 좋다는 장점이 있습니다.
원목마루를 사용하는 장점은 무엇인가요?,원목마루는 원목 그대로의 자연스러움을 연출하고 친환경적이며 보행감과 촉감이 좋고 충격 흡수성이 좋다는 장점이 있습니다.
폴리싱 타일의 단점이 뭐야?,폴리싱 타일은 시공이 어려워 하자가 발생할 확률이 높고 숙련도가 높은 기술자가 담당하기에 폴리싱 타일의 가격과 시공비가 높다는 단점이 있습니다.
폴리싱 타일을 사용하는 것에 대한 주요 단점이 무엇인가요?,폴리싱 타일은 시공이 어려워 하자가 발생할 확률이 높고 숙련도가 높은 기술자가 담당하기에 폴리싱 타일의 가격과 시공비가 높다는 단점이 있습니다.
송판 노출콘크리트의 단점이 뭐야?,송판 노출콘크리트는 시공이 제대로되지 않으며 짧은 시간 내에 균열 및 오염이 생길 수 있다는 점이 단점이 있습니다.
송판 노출콘크리트의 단점에 대해 알려주세요.,송판 노출콘크리트는 시공이 제대로되지 않으며 짧은 시간 내에 균열 및 오염이 생길 수 있다는 점이 단점이 있습니다.
폴리싱 타일이 뭐야?,"폴리싱 타일이란 점토를 주원료로 만들어진 유광의 타일을 의미합니다. 가격은 평당 10~20만원입니다. 여름에는 쉬원하고 겨울에는 따뜻하며 내구성이 좋고 바닥 울림이 적다는 장점이 있지만 가격이 조금 비싼 편이며 충격 흡수율이 낮아 노약자가 있는 집안에는 적절하지 않다는 단점이 있습니다. 특히, 유광의 폴리싱 타일은 물기가 있으면 미끄럽다는 단점이 있습니다."
폴리싱 타일은 어떤 종류의 타일인가요?,"폴리싱 타일이란 점토를 주원료로 만들어진 유광의 타일을 의미합니다. 가격은 평당 10~20만원입니다. 여름에는 쉬원하고 겨울에는 따뜻하며 내구성이 좋고 바닥 울림이 적다는 장점이 있지만 가격이 조금 비싼 편이며 충격 흡수율이 낮아 노약자가 있는 집안에는 적절하지 않다는 단점이 있습니다. 특히, 유광의 폴리싱 타일은 물기가 있으면 미끄럽다는 단점이 있습니다."
세라믹사이딩이 뭐야?,"세라믹사이딩은 가벼운 모래와 천연펄프, 콘크리트 등을 혼합해서 만든 것을 의미합니다."
세라믹사이딩은 어떤 재료로 만들어지고 어떤 장점을 가지고 있나요?,"세라믹사이딩은 가벼운 모래와 천연펄프, 콘크리트 등을 혼합해서 만든 것을 의미합니다."
밀풀에 대해 알려줘,"밀풀이란 옥수수 등의 전분이 함께 포함된 풀입니다. 가격이 저렴하고 접착력이 좋다는 장점이 있습니다. 다만, 유통기간이 짧고 보관에 유의해야 하며 풀자국이 남을 수 있는 단점이 있습니다."
밀풀은 어떤 식물이며 주로 어디에서 자랄까요?,"밀풀이란 옥수수 등의 전분이 함께 포함된 풀입니다. 가격이 저렴하고 접착력이 좋다는 장점이 있습니다. 다만, 유통기간이 짧고 보관에 유의해야 하며 풀자국이 남을 수 있는 단점이 있습니다."
광명단페인트가 뭐야?,"방청안료인 광명단을 보일드유 또는 전색제에 녹인 일종의 유성페인트 광명단은 사산화삼납(Pb304)의 함유량에 따라 1종, 2종 3종으로 구분합니다."
광명단페인트는 무엇이죠?,"방청안료인 광명단을 보일드유 또는 전색제에 녹인 일종의 유성페인트 광명단은 사산화삼납(Pb304)의 함유량에 따라 1종, 2종 3종으로 구분합니다."
화재 관련 마감재 종류가 뭐가 있어?,"화재 관련 마감재 종류는 물연재료, 준불연재료, 난연재료 등이 있습니다"
화재 관련 마감재 종류 중 어떤 것들이 있을까요?,"화재 관련 마감재 종류는 물연재료, 준불연재료, 난연재료 등이 있습니다"
압출법단열판의 장점이 뭐야?,압출법단열판은 습기에 강하고 곰팡이 및 세균 증식을 막을 수 있으며 단열재 중 열전도율이 가장 낮은 편이고 시공이 간편하다는 장점이 있습니다.
압출법단열판을 사용하는 것의 주요 장점은 무엇인가요?,압출법단열판은 습기에 강하고 곰팡이 및 세균 증식을 막을 수 있으며 단열재 중 열전도율이 가장 낮은 편이고 시공이 간편하다는 장점이 있습니다.
장판의 장점이 뭐야?,장판은 단가와 시공비가 저렴하고 보행감이 좋으며 높은 열전도율로 난방효과가 좋고 층간 소음 방지에 좋다는 장점이 있습니다.
장판을 선택하는 이유에는 어떤 것이 있을까요?,장판은 단가와 시공비가 저렴하고 보행감이 좋으며 높은 열전도율로 난방효과가 좋고 층간 소음 방지에 좋다는 장점이 있습니다.
강화마루의 장점이 뭐야?,강화마루는 마루 중 가격과 시공비가 가장 저렴하고 충격과 흠집에 강하며 시공 및 유지보수 및 철거가 쉬우며 접착 시공을 하지 않아 친환경적이라는 장점이 있습니다.
강화마루를 사용하면 좋은 점이 뭐야?,강화마루는 마루 중 가격과 시공비가 가장 저렴하고 충격과 흠집에 강하며 시공 및 유지보수 및 철거가 쉬우며 접착 시공을 하지 않아 친환경적이라는 장점이 있습니다.
층간소음을 줄이기 위한 인테리어 추천해줘,"층간소음을 줄이기 위한 인테리어로 카펫, 소음 저감 바닥재 등이 있습니다."
층간소음을 줄이기 위한 인테리어 아이템이나 방법에는 어떤 것이 있을까요?,"층간소음을 줄이기 위한 인테리어로 카펫, 소음 저감 바닥재 등이 있습니다."
KMEW 세라믹 지붕재가 뭐야?,KMEW 세라믹 지붕재는 산화티타늄처리를 한 지붕재입니다.
KMEW 세라믹 지붕재는 어떤 특징을 가지고 있나요?,KMEW 세라믹 지붕재는 산화티타늄처리를 한 지붕재입니다.
오리지널징크가 뭐야?,오리지널징크는 순도 99.995%의 아연과 소량의 티타늄과 구리가 첨가된 합금 판재입니다. 
오리지널징크는 무엇을 의미하나요?,오리지널징크는 순도 99.995%의 아연과 소량의 티타늄과 구리가 첨가된 합금 판재입니다. 
파벽돌이 뭐야?,파벽돌이란 전에 지어진 건물에 사용됐던 벽돌을 떼어내 재활용하고자 타일처럼 잘라낸 일종의 벽돌타일을 의미합니다.
파벽돌은 무엇인가요?,파벽돌이란 전에 지어진 건물에 사용됐던 벽돌을 떼어내 재활용하고자 타일처럼 잘라낸 일종의 벽돌타일을 의미합니다.
점토벽돌의 장점이 뭐야?,"점토벽돌은 유지관리가 쉽고 고벽돌, 전벽돌에 비해 저렴하며 흙이 주재료이기에 매우 친환경적이라는 점이 장점입니다."
점토벽돌의 장점에는 무엇이 있나요?,"점토벽돌은 유지관리가 쉽고 고벽돌, 전벽돌에 비해 저렴하며 흙이 주재료이기에 매우 친환경적이라는 점이 장점입니다."
불연재료가 뭐야?,"불연재료란 콘크리트, 금속 등 불에 타지 않는 소재를 의미합니다."
불연재료는 무엇인가요?,"불연재료란 콘크리트, 금속 등 불에 타지 않는 소재를 의미합니다."
스타코 플렉스의 단점은 뭐야?,"스타코플렉스의 단점은 변색, 오염이 생길 수 있으며 주기적인 유지보수가 필요합니다."
스타코 플렉스의 단점에 대해 알려주세요.,"스타코플렉스의 단점은 변색, 오염이 생길 수 있으며 주기적인 유지보수가 필요합니다."
흡음재 구조는 어떤 것이 있어?,"흡음재의 구조로 다공질, 공명형, 판 진동형이 있습니다."
흡음재 구조에는 어떤 종류의 것이 있는지 알려주세요.,"흡음재의 구조로 다공질, 공명형, 판 진동형이 있습니다."
방청 페인트의 종류는 뭐가 있어?,"방청페인트의 종류는 광명단페인트, 방청산화철페인트, 알미늄페인트, 역청질페인트, 워시프라이머, 크롬산아연페인트, 규산염페인트가 있습니다."
방청 페인트를 선택할 때 고려해야 하는 다양한 종류가 있나요?,"방청페인트의 종류는 광명단페인트, 방청산화철페인트, 알미늄페인트, 역청질페인트, 워시프라이머, 크롬산아연페인트, 규산염페인트가 있습니다."
방부목이 뭐야?,방부목이란 천연목재에 화학방부재를 주입하여 내구성을 강화한 목재입니다.
방부목은 무엇이며 어떻게 사용되나요?,방부목이란 천연목재에 화학방부재를 주입하여 내구성을 강화한 목재입니다.
비닐사이딩의 단점이 뭐야?,비닐사이딩은 태양빛이나 열에 약하고 오래 사용할수록 저렴해보일 수 있다는 점이 단점입니다.
비닐사이딩의 단점은 무엇인가요?,비닐사이딩은 태양빛이나 열에 약하고 오래 사용할수록 저렴해보일 수 있다는 점이 단점입니다.
전벽돌의 단점이 뭐야,전벽돌은 점토벽돌보다 비싸며 다른 외장재보다 시공비가 많이 드는 점이 단점입니다.
전벽돌의 어떤 단점이 있나요?,전벽돌은 점토벽돌보다 비싸며 다른 외장재보다 시공비가 많이 드는 점이 단점입니다.
합판마루에 대해 알려줘,합판마루는 나무 널판지를 여러겹 붙힌 합판의 맨 위에 0.3mm~0.5mm 두께의 나무 무늬목이나 원목을 붙혀 마감한 바닥재입니다. 가격은 평당 10~14 만원입니다. 심미성이 뛰어나고 다른 마루 형태의 바닥재에 비해 뒤틀림과 같은 변형이 적어 사계절이 있는 우리 기후에 가장 적합하다는 장점이 있지만 흠집과 습기에 취약하다는 단점이 있습니다.
합판마루란 무엇인가요?,합판마루는 나무 널판지를 여러겹 붙힌 합판의 맨 위에 0.3mm~0.5mm 두께의 나무 무늬목이나 원목을 붙혀 마감한 바닥재입니다. 가격은 평당 10~14 만원입니다. 심미성이 뛰어나고 다른 마루 형태의 바닥재에 비해 뒤틀림과 같은 변형이 적어 사계절이 있는 우리 기후에 가장 적합하다는 장점이 있지만 흠집과 습기에 취약하다는 단점이 있습니다.
유성페인트의 특징이 뭐야?,"유성페인트의 특징은 휘발성으로 냄새가 나고, 건조가 느리며, 철재나 목재에 사용됩니다. 유성으로 도장하면 표면이 코팅된 것처럼 매끈하게 보이며 물에 강하며 수성페인트에 비해 냄새가 심합니다."
유성페인트의 주요 특징은 무엇인가요?,"유성페인트의 특징은 휘발성으로 냄새가 나고, 건조가 느리며, 철재나 목재에 사용됩니다. 유성으로 도장하면 표면이 코팅된 것처럼 매끈하게 보이며 물에 강하며 수성페인트에 비해 냄새가 심합니다."
수성페인트를 사용하면 어떤 점이 안 좋아?,수성페인트의 단점은 다음과 같습니다. 내구성이 떨기 때문에 실외 또는 강한 마모에 노출될 경우 보호코팅이 필요할 수 있습니다 또한 선명도가 유성페인트에 비해 떨어집니다.
수성페인트를 사용했을 때 주의해야 할 점은 어떤 게 있을까요?,수성페인트의 단점은 다음과 같습니다. 내구성이 떨기 때문에 실외 또는 강한 마모에 노출될 경우 보호코팅이 필요할 수 있습니다 또한 선명도가 유성페인트에 비해 떨어집니다.
페인트의 종류 좀 알려줘,"페인트의 종류로 수성페인트, 유성페인트, 천연페인트가 있습니다."
"어떤 표면에 사용할 페인트가 있는지 알고 싶은데, 어떤 종류가 있나요?","페인트의 종류로 수성페인트, 유성페인트, 천연페인트가 있습니다."
알루미늄 샤시의 장점이 뭐야?,"알루미늄 샤시는 염색 도장, 필름 래핑이 가능하여 다양한 컬러를 연출할 수 있고 녹슬지 않으며 저렴한 가격이 장점입니다."
알루미늄 샤시를 사용하는 장점은 무엇인가요?,"알루미늄 샤시는 염색 도장, 필름 래핑이 가능하여 다양한 컬러를 연출할 수 있고 녹슬지 않으며 저렴한 가격이 장점입니다."
방염벽지의 장점이 뭐야?,방염벽지는 내구성과 내스크래치성이 우수하고 화재를 대비할 때 사용하기 좋다는 장점이 있습니다.
방염벽지를 사용하는 것의 장점은 무엇인가요?,방염벽지는 내구성과 내스크래치성이 우수하고 화재를 대비할 때 사용하기 좋다는 장점이 있습니다.
차음재 중 단일재는 뭐가 있어?,"차음재 중 단일재는 각종 보드류, 콘크리트, 유리 등과 같은 균질의 벽체가 있습니다."
차음재 중에서 단일재에 어떤 종류가 있는지 알려주세요.,"차음재 중 단일재는 각종 보드류, 콘크리트, 유리 등과 같은 균질의 벽체가 있습니다."
셀룰로오스가 뭐야?,셀룰로오스는 목재로부터 만들어지는 종이를 재활용하여 난연재를 첨가해 제조한 것을 의미합니다.
셀룰로오스는 어떤 물질인가요?,셀룰로오스는 목재로부터 만들어지는 종이를 재활용하여 난연재를 첨가해 제조한 것을 의미합니다.
쌀풀에 대해 알려줘,"쌀풀은 쌀로 만든 풀을 의미하며, 친환경적이고 접착력이 밀풀에 비해 약 1.5배 좋으며 내구성이 좋다는 장점이 있지만 비용이 다소 비싸다는 단점이 있습니다."
쌀풀은 무엇이며 어떤 용도로 사용되나요?,"쌀풀은 쌀로 만든 풀을 의미하며, 친환경적이고 접착력이 밀풀에 비해 약 1.5배 좋으며 내구성이 좋다는 장점이 있지만 비용이 다소 비싸다는 단점이 있습니다."
다공질 흡음재 중 스펀지가 뭐야?,다공질 흡음재 중 스펀지는 평평한 형태를 비롯하여 구조와 두께가 다양하고 소재의 특성상 재단이 쉽고 접착 스티커가 있는 제품도 있어 셀프 인테리어가 가능합니다.
다공질 흡음재 중 스펀지가 어떤 재질로 만들어졌는지 알려주세요.,다공질 흡음재 중 스펀지는 평평한 형태를 비롯하여 구조와 두께가 다양하고 소재의 특성상 재단이 쉽고 접착 스티커가 있는 제품도 있어 셀프 인테리어가 가능합니다.
난연재료가 뭐야?,난연재료는 5분간 화재에 견딜 수 있는 소재를 의미합니다.
난연재료는 어떤 역할을 하는 거죠?,난연재료는 5분간 화재에 견딜 수 있는 소재를 의미합니다.
에폭시 계열 페인트는 어디에 사용해?,에폭시 계열 페인트는 강도가 좋아 보도 및 바닥재 등 높은 강도를 요구하는 곳에 적용합니다.
에폭시 계열 페인트를 사용하는 가장 효과적인 방법이 무엇일까요?,에폭시 계열 페인트는 강도가 좋아 보도 및 바닥재 등 높은 강도를 요구하는 곳에 적용합니다.
차음재 중 이중벽은 뭐가 있어?,차음재 중 이중벽은 내부의 공기층을 형성한 중공이중벽과 내부에 다공질 흡음재를 설치한 이중벽 등이 있습니다.
차음재 중 이중벽에 어떤 종류가 있는지 알려주세요.,차음재 중 이중벽은 내부의 공기층을 형성한 중공이중벽과 내부에 다공질 흡음재를 설치한 이중벽 등이 있습니다.
비닐사이딩의 장점이 뭐야?,비닐사이딩은 가격이 저렴하고 시공이 간편해서 공사비가 적게 들고 새촉이 간편하며 가격대비 방음과 단열이 우수하다는 장점이 있습니다.
비닐사이딩의 장점은 무엇입니까?,비닐사이딩은 가격이 저렴하고 시공이 간편해서 공사비가 적게 들고 새촉이 간편하며 가격대비 방음과 단열이 우수하다는 장점이 있습니다.
사우나를 만들려고 해. 어떤 자재가 적합할까?,"사우나를 만들기 위해 적합한 자재는 탄화목, 석재 등이 있습니다. 탄화목, 서재 등은 습기에 강하므로 사우나와 같은 습기가 높은 공간의 자재로 적합합니다."
사우나를 만들 때 어떤 자재가 가장 적합할까요?,"사우나를 만들기 위해 적합한 자재는 탄화목, 석재 등이 있습니다. 탄화목, 서재 등은 습기에 강하므로 사우나와 같은 습기가 높은 공간의 자재로 적합합니다."
PVC 샤시의 장점이 뭐야?,PVC 샤시의 장점은 무게가 가벼워 시공이 비교적 용이하고 알루미늄 샤시보다 방음성이 좋으며 단열 성능이 우수하다는 장점이 있습니다.
PVC 샤시와 다른 샤시의 장점에는 어떤 것들이 있나요?,PVC 샤시의 장점은 무게가 가벼워 시공이 비교적 용이하고 알루미늄 샤시보다 방음성이 좋으며 단열 성능이 우수하다는 장점이 있습니다.
리얼징크가 뭐야?,컬러강판을 리얼징크라하며 겉보기엔 오리지널징크처럼 보이지만 철판에 부식을 방지하기 위한 아연 도금을 하고 페인트를 칠한 외장재입니다.
리얼징크는 무엇인가요?,컬러강판을 리얼징크라하며 겉보기엔 오리지널징크처럼 보이지만 철판에 부식을 방지하기 위한 아연 도금을 하고 페인트를 칠한 외장재입니다.
폴리싱 타일의 기대수명은 얼마야?,폴리싱 타일의 기대수명은 50년입니다.
폴리싱 타일의 기대 수명은 어느 정도인가요?,폴리싱 타일의 기대수명은 50년입니다.
점토벽돌의 백화 현상이 뭐야?,점토벽돌의 백화 현상이란 벽돌을 접착시키는 모르타르의 석회분이 빗물에 의하여 유출되어 수산화칼슘이 되어 표면에 유출될 때 공기 중의 탄산가스 또는 벽돌의 유황성분과 결합하여 흰 가루가 생기는 현상을 의미합니다.
점토벽돌의 백화 현상은 무엇을 의미하나요?,점토벽돌의 백화 현상이란 벽돌을 접착시키는 모르타르의 석회분이 빗물에 의하여 유출되어 수산화칼슘이 되어 표면에 유출될 때 공기 중의 탄산가스 또는 벽돌의 유황성분과 결합하여 흰 가루가 생기는 현상을 의미합니다.
파벽돌의 단점이 뭐야?,파벽돌은 공급량이 한정적이라 가격이 높고 접착력이 약해 지속적인 유지보수가 필요합니다.
파벽돌을 사용할 때 주의해야 하는 점은 무엇인가요?,파벽돌은 공급량이 한정적이라 가격이 높고 접착력이 약해 지속적인 유지보수가 필요합니다.
강화마루에 대해 알려줘,강화마루는 원목 무늬 필름지를 입혀 하드코팅 처리한 바닥재를 의미합니다. 가격은 평당 7~12 만원입니다. 온도나 습도에 의한 변색이 거의 없고 강도가 뛰어나 수명이 긴 장점이 있지만 필름지로 코팅처리 되어 있어 질감이나 보행감이 떨어진다는 단점이 있습니다.
강화마루가 다른 바닥재료와 비교했을 때 어떤 장점이 있나요?,강화마루는 원목 무늬 필름지를 입혀 하드코팅 처리한 바닥재를 의미합니다. 가격은 평당 7~12 만원입니다. 온도나 습도에 의한 변색이 거의 없고 강도가 뛰어나 수명이 긴 장점이 있지만 필름지로 코팅처리 되어 있어 질감이나 보행감이 떨어진다는 단점이 있습니다.
비닐사이딩이 뭐야?,비닐사이딩은 PVC 수지를 이용하여 목재 사이딩처럼 은은한 나무 무늬 모양으로 성형하여 만든 것을 의미합니다.
비닐사이딩은 뭔가요?,비닐사이딩은 PVC 수지를 이용하여 목재 사이딩처럼 은은한 나무 무늬 모양으로 성형하여 만든 것을 의미합니다.
한지벽지의 장점이 뭐야?,한지벽지는 습기와 통풍에 좋으며 인체에 무해하며 매우 친환경적이라는 장점이 있습니다.
한지벽지를 선택하는 이유는 무엇인가요?,한지벽지는 습기와 통풍에 좋으며 인체에 무해하며 매우 친환경적이라는 장점이 있습니다.
비드법 보온판 2종의 장점이 뭐야?,"비드법 보온판 2종은 단열성이 높고 시간이 지날수록 경시현상이 없고 습기, 곰팡이로부터 영향을 받지 않는다는 장점이 있습니다."
비드법 보온판 2종을 사용하는 것의 장점은 무엇인가요?,"비드법 보온판 2종은 단열성이 높고 시간이 지날수록 경시현상이 없고 습기, 곰팡이로부터 영향을 받지 않는다는 장점이 있습니다."
탄화목사이딩의 단점이 뭐야?,탄화목사이딩의 단점은 열처리 비용으로 가격이 높고 어두운 색으로 인해 호불호가 갈리며 일반 목재처럼 오일 칠을 해주는 관리가 필요하다는 점이 단점입니다.
탄화목사이딩의 장점은 무엇인가요?,탄화목사이딩의 단점은 열처리 비용으로 가격이 높고 어두운 색으로 인해 호불호가 갈리며 일반 목재처럼 오일 칠을 해주는 관리가 필요하다는 점이 단점입니다.
벽지 종류는 뭐가 있어?,"벽지의 종류로 합지벽지, 실크벽지, 방염벽지, 직물벽지, 뮤럴벽지, 천연벽지, 단열벽지, 질석벽지, 초경벽지, 플로킹벽지 등이 있습니다."
어떤 종류의 벽지가 있나요?,"벽지의 종류로 합지벽지, 실크벽지, 방염벽지, 직물벽지, 뮤럴벽지, 천연벽지, 단열벽지, 질석벽지, 초경벽지, 플로킹벽지 등이 있습니다."
방청산화철페인트가 뭐야?,"방청산화철페인트는 산화철에 아연화, 아연분말, 연단 등을 혼합한 안료를 오일스테인 또는 합성수지에 녹인 것으로 정벙칠에도 사용합니다."
방청산화철페인트를 사용하는데 어떤 점을 주의해야 하나요?,"방청산화철페인트는 산화철에 아연화, 아연분말, 연단 등을 혼합한 안료를 오일스테인 또는 합성수지에 녹인 것으로 정벙칠에도 사용합니다."
방부목이 단점이 뭐야?,방부목은 내구성이 떨어지고 꾸준한 관리가 필요하다는 단점이 있습니다.
방부목의 단점은 무엇인가요?,방부목은 내구성이 떨어지고 꾸준한 관리가 필요하다는 단점이 있습니다.
장판의 장점이 뭐야?,장판은 보행감이 좋고 디자인이 다양하며 방수성이 좋고 가격이 저렴하다는 장점이 있습니다.
장판을 사용하는 것의 장점은 무엇인가요?,장판은 보행감이 좋고 디자인이 다양하며 방수성이 좋고 가격이 저렴하다는 장점이 있습니다.
바닥재의 종류는 뭐가 있어?,"바닥재의 종류로 데코타일, PVC 바닥재, 포세린 타일, 폴리싱 타일, 대리석 타일, 원목마루, 합판마루 강화마루, 강마루가 있습니다."
바닥재의 종류 중에서 어떤 것들이 있나요?,"바닥재의 종류로 데코타일, PVC 바닥재, 포세린 타일, 폴리싱 타일, 대리석 타일, 원목마루, 합판마루 강화마루, 강마루가 있습니다."
비드법 보온판 1종의 단점이 뭐야?,비드법 보온판 1종은 7주 이상의 숙성 과정을 거쳐야 하고 물에 닿으면 단열 성능이 저하되며 화재에 취약하고 유독가스를 발생한다는 단점이 있습니다.
비드법 보온판 1종의 장점은 무엇인가요?,비드법 보온판 1종은 7주 이상의 숙성 과정을 거쳐야 하고 물에 닿으면 단열 성능이 저하되며 화재에 취약하고 유독가스를 발생한다는 단점이 있습니다.
굽도리가 뭐야?,굽도리란 걸레받이를 대체할 수 있는 자재로 스티커 형태로 벽과 바닥면 이음새에 부착합니다.
굽도리가 어떤 용도로 사용되는지 알고 계신가요?,굽도리란 걸레받이를 대체할 수 있는 자재로 스티커 형태로 벽과 바닥면 이음새에 부착합니다.
징크판넬은 뭐야?,징크판넬은 건축 외장재로 사용되며 단열재 위에 징크모양의 컬러강판이 붙여진 제품입니다. 오리지널징크를 사용하지 않고 비슷한 디자인의 철판으로 만들어졌기 때문에 자석에 붙는 성질이 있습니다.
징크판넬이 무엇인지 설명해주실 수 있나요?,징크판넬은 건축 외장재로 사용되며 단열재 위에 징크모양의 컬러강판이 붙여진 제품입니다. 오리지널징크를 사용하지 않고 비슷한 디자인의 철판으로 만들어졌기 때문에 자석에 붙는 성질이 있습니다.
페인트 중도재가 뭐야?,페인트 중도재는 말그대로 하도재와 상도재 중간에 칠하는 재료를 의미합니다
페인트 중도재는 무엇인가요?,페인트 중도재는 말그대로 하도재와 상도재 중간에 칠하는 재료를 의미합니다
수성페인트의 특징이 뭐야?,"수성페인트는 건물외벽이나 콘크리트, 시멘트 벽, 목재, 벽지 등에 주로 사용됩니다. 수성페인트는 냄새가 적게나고 빠르게 건조되고 바르기 쉬운 편이며 도막은 광택이 없고 내구성과 내수성이 약합니다."
수성페인트의 특징은 무엇인가요?,"수성페인트는 건물외벽이나 콘크리트, 시멘트 벽, 목재, 벽지 등에 주로 사용됩니다. 수성페인트는 냄새가 적게나고 빠르게 건조되고 바르기 쉬운 편이며 도막은 광택이 없고 내구성과 내수성이 약합니다."
도기질 타일의 기대수명은 얼마야?,도기질 타일의 기대수명은 50년입니다.
도기질 타일이 얼마나 오랫동안 사용할 수 있는지 얼마나 되는 건가요?,도기질 타일의 기대수명은 50년입니다.
알루미늄 샤시의 단점이 뭐야?,알루미늄 샤시는 단열성능이 떨어지고 동절기 결로가 발생할 수 있으며 변형으로 문이 열리지 않거나 소음이 발생할 수 있습니다.
알루미늄 샤시의 단점에 대해 알려주실 수 있나요?,알루미늄 샤시는 단열성능이 떨어지고 동절기 결로가 발생할 수 있으며 변형으로 문이 열리지 않거나 소음이 발생할 수 있습니다.
페인트가 남으면 어떻게 처리해?,"페인트 처리방법은 남은 페인트의 양에 따라 달라집니다. 만약, 남은 페인트의 양이 적다면 신문이나 헌 옷에 적신 다음 종량제 봉투에 버리는 것이 가능합니다. 남은 페인트 양이 6ml이상 100kg 미만일 경우 페기물 수탁업체를 통해 처리해야 하며, 100kg 이상이라면 구청 환경과에 신고해야 합니다. 신고시 준비해야할 서류는 폐기물처리계획서, 폐기물분석결과서,폐기물수탁확인서 각 1통입니다."
남은 페인트는 어떻게 처리해야 하나요?,"페인트 처리방법은 남은 페인트의 양에 따라 달라집니다. 만약, 남은 페인트의 양이 적다면 신문이나 헌 옷에 적신 다음 종량제 봉투에 버리는 것이 가능합니다. 남은 페인트 양이 6ml이상 100kg 미만일 경우 페기물 수탁업체를 통해 처리해야 하며, 100kg 이상이라면 구청 환경과에 신고해야 합니다. 신고시 준비해야할 서류는 폐기물처리계획서, 폐기물분석결과서,폐기물수탁확인서 각 1통입니다."
직물벽지가 뭐야?,"직물벽지는 지사벽지, 섬유벽지와 유의어며 실 또는 한지를 염색하여 꼬아 만든 벽지입니다. 친환경적이고 흡음효과가 좋으며 실내온도 조절이 용이하다는 장점이 있지만 시공과 관리가 어렵고 가격이 비싸다는 단점이 있습니다."
직물벽지란 무엇인가요?,"직물벽지는 지사벽지, 섬유벽지와 유의어며 실 또는 한지를 염색하여 꼬아 만든 벽지입니다. 친환경적이고 흡음효과가 좋으며 실내온도 조절이 용이하다는 장점이 있지만 시공과 관리가 어렵고 가격이 비싸다는 단점이 있습니다."
도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,일반적으로 도배보다 페인트 시공이 더 많은 비용이 듭니다. 페인트는 특성상 2~3번 덧발라야하기 때문에 벽을 벽지로 시공했을 때보다 시간과 인건비가 많이 듭니다.
