t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region,year
6800,2020-06-19,금,7,444,20,66485.21554013228,224.2818290153708,14911425.743822023,1,72,3,2020
6819,2020-06-10,수,7,444,30,48202.84305279357,227.107907166753,10947246.805207407,1,72,3,2020
7667,2021-02-21,일,17,444,30,47559.59904871091,215.23204962655467,10236349.982671188,1,72,3,2021
7760,2020-05-03,일,23,444,10,51828.76687871182,196.83195510372195,10201557.515351877,1,72,3,2020
45,2021-05-19,수,6,434,10,23058.79191365791,178.1740783526307,4108478.997141092,1,71,3,2021
523,2021-11-29,월,4,434,20,34225.867897699965,152.65807655664625,5224855.161744743,1,71,3,2021
1100,2021-07-08,목,12,434,10,75134.74175839283,132.92418287232712,9987224.153557682,1,71,3,2021
1327,2020-01-23,목,7,434,10,79082.08104637152,189.86630221367088,15015022.299636388,1,71,3,2020
4387,2020-03-10,화,9,434,20,52198.04069218901,123.38563264119408,6440488.273436534,1,71,3,2020
6561,2021-05-13,목,18,434,30,63916.74798752766,131.16059200489408,8383358.505071751,1,71,3,2021
6944,2020-07-19,일,12,434,30,60150.905953282745,224.0413353936645,13476289.29491219,1,71,3,2020
7627,2020-05-11,월,8,434,30,99435.46073049256,256.39141444969147,25494398.42314774,1,71,3,2020
9234,2020-04-03,금,2,434,10,71624.50274445125,191.1771784990864,13692970.34608426,1,71,3,2020
46,2021-08-26,목,10,466,10,53917.2311850505,222.0314561512404,11971321.35165983,1,37,9,2021
157,2021-09-27,월,1,466,30,42169.71165777581,163.525243527381,6895812.368317228,1,37,9,2021
424,2021-02-01,월,12,466,30,32930.56421299002,116.2884336138304,3829443.7303482695,1,37,9,2021
693,2020-08-18,화,20,466,10,58620.952745400886,200.64666168188225,11762098.472976057,1,37,9,2020
1039,2020-06-28,일,9,466,10,44997.06814974203,198.7913998748405,8945030.167750819,1,37,9,2020
1514,2021-11-18,목,1,466,30,35545.04772176276,177.26230959792522,6300797.253928138,1,37,9,2021
1738,2020-07-01,수,3,466,30,46555.28705056441,163.67549349045487,7619959.582590912,1,37,9,2020
3424,2021-06-12,토,16,466,10,40381.1236449322,215.7907650494148,8713873.564894933,1,37,9,2021
3507,2020-09-26,토,7,466,10,79680.70996016645,131.51483354298557,10479195.306998204,1,37,9,2020
5656,2021-01-09,토,6,466,30,68247.18193158059,140.68475531641198,9601338.091079067,1,37,9,2021
5952,2020-09-16,수,14,466,10,55619.76470711328,130.54686645474698,7260985.995463966,1,37,9,2020
7604,2021-11-03,수,23,466,20,76739.6884127359,177.83791221501684,13647225.971351871,1,37,9,2021
8081,2020-10-08,목,12,466,10,56831.118967692135,127.09497902922648,7222949.873406307,1,37,9,2020
9638,2020-04-24,금,10,466,30,43507.61214299684,144.5585491378363,6289397.287843333,1,37,9,2020
47,2021-10-20,수,23,429,20,77352.5970218213,143.62779309723467,11109982.80058392,0,70,7,2021
617,2020-06-27,토,24,429,30,63382.37666014798,162.88666549245588,10324143.985158367,0,70,7,2020
1081,2021-08-27,금,16,429,20,41009.95698388367,109.81179393743768,4503376.945697417,0,70,7,2021
1610,2020-05-10,일,18,429,10,53031.20811964022,177.9344788485664,9436080.379478049,0,70,7,2020
3534,2020-04-08,수,5,429,10,43304.15043744129,228.1250462204693,9878761.32007945,0,70,7,2020
3857,2021-01-24,일,1,429,20,36105.06897409627,180.0235432609249,6499762.446396898,0,70,7,2021
4170,2021-10-28,목,6,429,30,68879.36428991264,240.8454340411423,16589280.388881968,0,70,7,2021
4212,2020-12-18,금,20,429,20,82835.74606037865,231.87580300135755,19207605.134966835,0,70,7,2020
4802,2021-07-12,월,4,429,30,35881.255624770725,207.8096062790016,7456469.604179816,0,70,7,2021
4847,2021-07-02,금,3,429,20,63723.87984598687,177.39284973215817,11304160.64186925,0,70,7,2021
8651,2020-09-19,토,15,429,20,46497.520759263614,175.13509557910518,8143347.74236506,0,70,7,2020
48,2021-03-21,일,15,537,20,48818.53126552401,207.20670983761724,10115527.242634078,1,62,3,2021
1701,2020-06-23,화,11,537,10,47324.31897287951,157.21638046686795,7440158.136975644,1,62,3,2020
1807,2021-11-20,토,19,537,30,43469.19432430613,92.7161640972026,4030296.9541455554,1,62,3,2021
1983,2020-09-20,일,17,537,20,56421.66080270063,195.44772605870435,11027485.304343369,1,62,3,2020
2016,2020-07-04,토,21,537,30,43938.18297038056,125.22702690361253,5502248.020927695,1,62,3,2020
3038,2020-02-14,금,16,537,30,59571.873575498816,132.53551060469164,7895388.682006873,1,62,3,2020
4611,2020-08-24,월,9,537,20,55019.83635479154,174.17132653511788,9582877.883659149,1,62,3,2020
5361,2020-06-08,월,11,537,10,52341.23259565382,170.0461500969139,8900425.09421803,1,62,3,2020
5851,2021-07-27,화,6,537,20,42850.70801206336,113.06952678487654,4845109.277320922,1,62,3,2021
6241,2020-01-01,수,21,537,10,47546.07061302154,181.32147308554124,8621123.56298223,1,62,3,2020
6615,2021-07-22,목,16,537,10,66455.17354727496,215.96075306501592,14351709.324335825,1,62,3,2021
8277,2020-07-20,월,7,537,20,62843.09500674776,125.34501055184424,7877068.406731348,1,62,3,2020
9184,2021-08-17,화,1,537,20,41857.22712151428,229.21442118464464,9594280.087052109,1,62,3,2021
49,2021-12-03,금,16,595,30,57142.88234289488,106.6623277056612,6094992.842503895,0,19,1,2021
295,2021-07-26,월,20,595,30,66398.33815200135,265.7656571112414,17646397.97006105,0,19,1,2021
727,2020-01-29,수,3,595,10,32036.9064038187,156.3688454556337,5009574.066335328,0,19,1,2020
920,2021-09-11,토,19,595,30,63445.54336555328,180.4616187947416,11449485.461059725,0,19,1,2021
1637,2021-07-21,수,4,595,10,46327.4562648295,92.30460092482896,4276237.362387554,0,19,1,2021
1663,2020-03-07,토,7,595,10,63832.17422228764,171.47337969753903,10945518.64733779,0,19,1,2020
2737,2021-04-16,금,13,595,30,44899.0081502572,184.0467021955194,8263514.381904585,0,19,1,2021
3267,2020-03-08,일,16,595,20,30113.909008605307,170.4339159834921,5132431.437907163,0,19,1,2020
4372,2021-05-09,일,17,595,10,32631.119781242018,149.8004692805613,4888157.056380261,0,19,1,2021
6219,2020-03-26,목,6,595,10,56415.46242150571,133.20942216379711,7515071.150272186,0,19,1,2020
6316,2020-06-16,화,7,595,10,59419.50745653317,223.0727988062506,13254875.832017733,0,19,1,2020
6553,2021-06-25,금,6,595,30,42896.79739911447,175.49447909310433,7528151.114320027,0,19,1,2021
6702,2020-08-15,토,22,595,30,64797.29786377737,240.8208268211509,15604538.84733126,0,19,1,2020
9807,2021-07-16,금,5,595,30,32148.831494509555,151.38387826179527,4866814.793223805,0,19,1,2021
50,2020-06-26,금,9,691,30,54794.97480898166,155.35065790901365,8512435.38668313,1,14,1,2020
257,2021-02-16,화,8,691,20,38543.41439847025,209.44754851867685,8072823.657299066,1,14,1,2021
3942,2021-01-05,화,8,691,20,46480.57932396048,103.945166333611,4831431.549111673,1,14,1,2021
4549,2020-06-29,월,23,691,20,56405.72122957914,121.66229710469456,6862449.614637636,1,14,1,2020
6911,2020-12-21,월,23,691,30,43519.97304319007,221.64328325864423,9645909.712620338,1,14,1,2020
7250,2021-03-14,일,7,691,20,50274.43741181639,123.45902851671214,6206833.2020871,1,14,1,2021
7290,2020-04-13,월,21,691,20,70016.54362474193,95.4621219908452,6683927.828882449,1,14,1,2020
9002,2021-09-08,수,15,691,10,47544.35964802462,255.0016929396366,12123892.199977225,1,14,1,2021
9093,2021-10-25,월,18,691,30,67594.98769107013,113.85944002752434,7696327.447172645,1,14,1,2021
51,2020-03-19,목,17,597,20,39697.54290082496,182.12738865160568,7230009.824412336,1,29,9,2020
271,2021-06-26,토,12,597,20,63253.125351955765,177.15054292947804,11205325.498085296,1,29,9,2021
304,2021-02-28,일,21,597,20,76194.97514112828,52.56247119303234,4004996.18590937,1,29,9,2021
1259,2020-07-28,화,5,597,20,20649.689508052423,162.5964203510021,3357565.59536897,1,29,9,2020
2066,2020-09-21,월,17,597,10,44421.56757524424,193.5618112703385,8598319.079332015,1,29,9,2020
3023,2021-12-29,수,14,597,10,63924.060377007925,189.4904967405865,12113001.954514476,1,29,9,2021
3859,2020-01-15,수,16,597,20,52850.84540969447,213.25160245666592,11270527.474806871,1,29,9,2020
4434,2020-10-31,토,8,597,10,61001.08321370742,157.3971936809494,9601399.30933562,1,29,9,2020
5745,2020-06-30,화,19,597,20,47159.78922066376,204.9874660597805,9667165.692257216,1,29,9,2020
6194,2020-01-07,화,17,597,30,56962.011335433184,144.33846977550184,8221809.551491216,1,29,9,2020
6777,2020-02-24,월,21,597,10,53523.20272236943,113.13910359462956,6055567.177522515,1,29,9,2020
7374,2021-09-20,월,15,597,10,72308.76906120114,118.01665118698268,8533638.77605586,1,29,9,2021
8571,2021-01-21,목,2,597,20,59344.25417433429,110.90481653806438,6581563.621792805,1,29,9,2021
52,2020-06-05,금,1,591,30,60524.96111276776,217.84041630213824,13184782.725476058,1,46,7,2020
314,2021-11-10,수,19,591,20,49886.62919997433,108.63505230734866,5419436.572576519,1,46,7,2021
603,2020-08-15,토,15,591,30,48811.70607828883,186.01766797767823,9079839.734695151,1,46,7,2020
1156,2020-08-20,목,21,591,20,49593.073921753545,162.65667977982665,8066644.744187938,1,46,7,2020
7759,2021-07-07,수,11,591,20,61331.89917723324,169.72064453494818,10409289.458912482,1,46,7,2021
9230,2020-11-17,화,7,591,30,49757.354486412354,233.15681301307933,11601266.19601395,1,46,7,2020
9247,2020-12-04,금,15,591,30,59846.07932998209,155.19349372310225,9287722.136849854,1,46,7,2020
53,2020-02-14,금,6,586,20,85191.7734966158,200.621998703859,17091343.872017503,0,56,5,2020
794,2021-09-06,월,24,586,10,68097.92820246764,175.78678038234074,11970715.549419586,0,56,5,2021
3854,2021-06-02,수,21,586,30,51105.2578216205,167.5846839723448,8564458.481361475,0,56,5,2021
6406,2020-02-26,수,12,586,10,72783.31061660073,273.6676188163389,19918435.30601508,0,56,5,2020
7400,2021-04-17,토,22,586,20,49940.590118568194,111.8033550413491,5583525.528000771,0,56,5,2021
7994,2020-12-07,월,1,586,10,26803.198028417846,229.9347029339473,6162985.3763440205,0,56,5,2020
9625,2021-10-01,금,8,586,10,41423.86028564061,202.560444673208,8390835.559540201,0,56,5,2021
54,2020-05-26,화,6,769,10,29178.365841137704,153.41544388024298,4476411.94721826,1,61,2,2020
672,2021-04-14,수,16,769,20,50743.44602811894,244.6525568467825,12414513.813996008,1,61,2,2021
852,2020-10-10,토,24,769,20,55994.36653096421,94.20490773651046,5274944.132813833,1,61,2,2020
1965,2021-02-07,일,8,769,30,79528.76968782976,151.58789843810604,12055599.062346265,1,61,2,2021
2546,2020-05-02,토,5,769,10,60373.43296437672,121.87780208620534,7358181.314097091,1,61,2,2020
3965,2020-11-30,월,18,769,20,52622.95404183787,191.99003762126424,10103082.926234512,1,61,2,2020
5136,2020-06-05,금,23,769,30,67505.75484259381,126.00597575110508,8506128.50775592,1,61,2,2020
6411,2021-06-25,금,16,769,30,24347.432765098805,192.89773825599303,4696564.712727419,1,61,2,2021
6544,2021-01-02,토,8,769,30,59077.31229039389,166.0956430609875,9812484.175187754,1,61,2,2021
8530,2021-07-30,금,17,769,10,66674.8155522738,153.42284428161972,10229439.84398222,1,61,2,2021
8853,2020-12-29,화,11,769,10,34745.447312560864,190.9760918574354,6635549.737591305,1,61,2,2020
9257,2020-03-02,월,21,769,30,71967.70837603863,162.53997803692306,11697629.738809004,1,61,2,2020
55,2020-10-05,월,13,176,30,60537.64719529409,127.0628844172841,7692088.068469976,1,57,9,2020
799,2020-01-18,토,12,176,10,49838.21321475218,295.36038114490054,14720233.650690025,1,57,9,2020
1316,2021-12-05,일,6,176,30,64714.82062074177,153.08481185272186,9906856.1388089,1,57,9,2021
2783,2020-05-28,목,18,176,30,87963.80580690288,78.21888560170026,6880430.863500314,1,57,9,2020
2849,2020-06-17,수,7,176,10,58314.39323818284,137.72903709462912,8031585.229452474,1,57,9,2020
5027,2020-06-16,화,6,176,10,59256.24592242413,119.3341145355343,7071291.637852348,1,57,9,2020
5692,2020-04-20,월,12,176,30,49212.62843301812,209.90404358951017,10329929.7037586,1,57,9,2020
7338,2020-12-27,일,8,176,30,43669.9924450243,188.0776346621357,8213348.884773506,1,57,9,2020
7350,2021-11-13,토,3,176,10,67518.95887396761,191.4115685736629,12923909.826526778,1,57,9,2021
9237,2020-07-20,월,22,176,30,43581.42778481183,158.1529668555378,6892532.10396836,1,57,9,2020
9884,2021-12-09,목,2,176,30,56748.762691851385,162.07581434062857,9197601.926104894,1,57,9,2021
56,2021-06-01,화,9,244,10,48952.92191810673,158.11365550482296,7740125.432114025,0,35,4,2021
811,2020-04-15,수,15,244,30,62531.70970931102,170.64889158954534,10670966.951093135,0,35,4,2020
4938,2020-07-04,토,16,244,20,60469.02770316267,210.30154587206923,12716730.00335609,0,35,4,2020
5007,2021-02-01,월,2,244,20,70460.07455128036,188.70162137776805,13295930.310225016,0,35,4,2021
6947,2020-09-26,토,14,244,20,48493.60953691833,195.7985445351404,9494978.166584011,0,35,4,2020
7006,2021-01-04,월,1,244,20,51902.247342769566,195.7745796527431,10161140.656563414,0,35,4,2021
7296,2020-03-25,수,17,244,30,41840.07373275161,212.4262002331152,8887927.880521797,0,35,4,2020
8125,2020-04-14,화,24,244,30,49426.50289168381,186.6281756907496,9224378.06544851,0,35,4,2020
9545,2021-06-16,수,16,244,10,61088.44367611466,189.68685890578263,11587674.99636501,0,35,4,2021
57,2020-02-29,토,13,635,10,66477.84737734846,225.59421132179267,14997017.549463429,0,68,6,2020
489,2021-06-05,토,9,635,20,42643.44777117453,145.38905721552328,6199890.667870472,0,68,6,2021
988,2020-02-20,목,11,635,10,68076.37015002957,137.13874713375645,9335908.11178891,0,68,6,2020
2002,2020-03-21,토,18,635,20,74975.24890479383,122.85386525196212,9210999.12618186,0,68,6,2020
3367,2021-03-30,화,16,635,10,61601.34600793659,182.07526262152209,11216081.252234304,0,68,6,2021
4165,2020-11-06,금,9,635,10,82372.71653757068,93.96167166883072,7739878.145772879,0,68,6,2020
4261,2020-10-28,수,9,635,30,44749.54166230242,194.1562959556884,8688405.254867397,0,68,6,2020
5533,2021-04-03,토,7,635,30,38065.93969156716,169.43750204337633,6449797.73427295,0,68,6,2021
5789,2021-08-01,일,6,635,30,30485.25794459711,223.25074732084647,6805856.618400076,0,68,6,2021
7031,2021-01-21,목,5,635,30,76968.21894714813,145.09177294255915,11167455.347272797,0,68,6,2021
8419,2020-02-23,일,6,635,10,65021.18721958328,165.36526499614098,10752245.854930084,0,68,6,2020
8910,2020-05-09,토,3,635,20,54943.94570576292,222.7126997268529,12236714.481776088,0,68,6,2020
9413,2021-08-26,목,14,635,10,59706.88683993663,234.00168860902235,13971512.342132987,0,68,6,2021
58,2020-10-23,금,2,402,30,39757.41168570406,144.7354910917776,5754308.504868354,0,18,1,2020
686,2020-07-28,화,15,402,20,90448.64591747567,182.0262301300626,16464026.036726978,0,18,1,2020
963,2021-11-01,월,21,402,10,57567.13375311868,186.8993952629259,10759262.485477852,0,18,1,2021
1035,2021-12-13,월,24,402,20,57285.71224205713,190.3273975832255,10903040.529732255,0,18,1,2021
1862,2020-08-12,수,18,402,30,66034.67332788625,162.8015509578588,10750547.234775431,0,18,1,2020
2223,2020-09-07,월,12,402,20,62560.51568841784,229.5994741479009,14363861.504482243,0,18,1,2020
4042,2021-06-09,수,22,402,30,58910.80568007832,92.40541000795965,5443677.152766874,0,18,1,2021
4692,2021-03-28,일,14,402,30,44512.7062790108,155.94183773963812,6941393.219913673,0,18,1,2021
7177,2021-10-14,목,15,402,10,62425.089738302486,193.54093564302127,12081810.275550628,0,18,1,2021
8879,2021-12-18,토,16,402,10,82446.9339984369,193.9430351572252,15990008.619064271,0,18,1,2021
60,2021-05-13,목,4,275,30,74830.21429904403,232.6874731423112,17412053.4799422,0,19,4,2021
997,2021-01-18,월,13,275,30,78347.08523312087,226.00172199335023,17706576.175845098,0,19,4,2021
1382,2020-06-08,월,9,275,20,48476.58664205407,161.80795023710104,7843897.119042002,0,19,4,2020
1478,2021-05-01,토,13,275,20,41686.19194146501,230.39933323191855,9604470.828291316,0,19,4,2021
2127,2020-08-01,토,3,275,10,53947.47455457868,143.26929931719184,7729016.879366524,0,19,4,2020
2217,2020-09-23,수,2,275,30,56523.906316560126,214.4355967136249,12120737.579576602,0,19,4,2020
2225,2021-07-31,토,18,275,30,71264.20347912057,252.49217423100723,17993653.681284063,0,19,4,2021
2303,2021-05-13,목,10,275,20,31709.595300487144,226.72504127121192,7189359.303196375,0,19,4,2021
5407,2021-10-17,일,9,275,20,77443.81297327256,178.73769289012847,13842128.459457338,0,19,4,2021
6038,2021-07-25,일,7,275,30,53490.12061095981,159.8075439807256,8548124.802070277,0,19,4,2021
6848,2021-12-26,일,10,275,10,49673.65658465761,108.02858604892228,5366174.8847203,0,19,4,2021
6872,2020-03-21,토,15,275,10,41366.826711255046,187.59684032705388,7760285.98538822,0,19,4,2020
6893,2021-06-26,토,20,275,10,32243.41359668641,125.91282276442077,4059859.2215194902,0,19,4,2021
8576,2020-07-07,화,20,275,10,67417.253477883,139.8474192105548,9428128.909145735,0,19,4,2020
9508,2020-03-06,금,22,275,10,56773.62725671854,122.6451507507419,6963010.073566674,0,19,4,2020
61,2021-02-16,화,10,384,30,37422.85035705949,154.2432003410622,5772220.204957518,0,75,3,2021
1422,2021-06-20,일,2,384,30,37350.20578820624,172.95156746668985,6459776.636273701,0,75,3,2021
2997,2021-05-06,목,12,384,30,50966.70497535721,185.99931279380115,9479772.100780848,0,75,3,2021
3167,2021-08-10,화,13,384,30,79423.5078496392,148.18128802006322,11769077.692231135,0,75,3,2021
3192,2020-06-24,수,18,384,30,52048.2155252017,220.4231822971268,11472633.29895168,0,75,3,2020
4186,2021-07-29,목,21,384,10,34396.88226353076,165.15383476620443,5680777.009823747,0,75,3,2021
5268,2020-09-19,토,20,384,30,52244.78214414736,140.08157421962608,7318531.327513575,0,75,3,2020
6862,2020-04-18,토,6,384,30,51861.81299648063,183.95195779735616,9540082.035622982,0,75,3,2020
7893,2021-06-21,월,3,384,30,17452.53699602287,259.1128872984853,4522177.251723119,0,75,3,2021
8473,2020-05-20,수,1,384,20,54962.25356459627,188.6620414351811,10369290.959374793,0,75,3,2020
8541,2021-05-20,목,1,384,10,52454.97878272318,158.46303331934902,8312175.050612409,0,75,3,2021
62,2021-12-12,일,15,881,10,65615.08640951524,108.07747183663555,7091512.653482791,1,15,1,2021
3273,2020-04-13,월,4,881,10,81977.55148547342,164.668971823332,13499159.11570717,1,15,1,2020
4123,2020-04-08,수,8,881,10,71723.72251480908,184.32557999038616,13220516.751611702,1,15,1,2020
6158,2021-01-19,화,4,881,20,51916.24638754824,157.3933182451811,8171270.289770613,1,15,1,2021
6284,2021-11-17,수,16,881,10,40026.57999193229,102.11035194382968,4087128.170084057,1,15,1,2021
6847,2020-10-03,토,5,881,20,92259.94849516149,137.3627333646246,12673078.705374865,1,15,1,2020
7990,2021-05-24,월,19,881,20,56573.49438041841,237.09086359035692,13413058.638977606,1,15,1,2021
64,2021-08-31,화,23,117,30,55930.64712000588,236.2023299993256,13210949.168115458,0,16,6,2021
167,2021-12-11,토,4,117,30,55390.492191772646,135.8020355248455,7522141.588365787,0,16,6,2021
1691,2021-08-11,수,1,117,30,58544.60342719174,203.2678214968521,11900233.999042405,0,16,6,2021
2671,2020-04-22,수,11,117,10,53683.83700744273,123.17180473266154,6612335.089180765,0,16,6,2020
3117,2021-02-22,월,18,117,10,47590.205258145696,234.91804868833344,11179798.155920852,0,16,6,2021
4526,2020-01-23,목,7,117,10,47970.65577051352,184.77153383414253,8863611.645747444,0,16,6,2020
4819,2021-05-12,수,17,117,10,55268.021250292,215.24697573453813,11896274.428957542,0,16,6,2021
5686,2020-10-05,월,23,117,20,48019.40138022028,99.95975183189393,4800007.445082923,0,16,6,2020
6085,2020-09-17,목,24,117,10,45614.59024728241,203.4789636813577,9281609.55226679,0,16,6,2020
7141,2020-03-18,수,5,117,30,57243.6323167175,173.82962655607233,9950639.228328116,0,16,6,2020
7516,2021-07-09,금,10,117,20,52113.709884923126,211.0195402872288,10997011.10257849,0,16,6,2021
8314,2021-11-06,토,14,117,10,77081.04478257701,213.7425245866346,16475497.10960345,0,16,6,2021
9708,2020-11-21,토,22,117,10,18104.29390566307,177.00774978902024,3204600.325760493,0,16,6,2020
65,2021-12-14,화,23,189,10,71226.09654099516,148.16731357233863,10553379.380723294,0,39,6,2021
2413,2020-06-16,화,24,189,10,73420.22648355544,207.8944529204315,15263657.818092933,0,39,6,2020
3365,2020-02-21,금,12,189,30,26302.62646095021,171.5591103157904,4512455.194609186,0,39,6,2020
3702,2021-07-09,금,19,189,30,50868.72327822416,136.4014250165477,6938566.343922207,0,39,6,2021
4214,2021-01-08,금,23,189,20,50460.5909705444,134.3521246949834,6779487.610257134,0,39,6,2021
5666,2021-01-25,월,23,189,30,35754.30017033479,110.25352119862396,3942037.491771971,0,39,6,2021
5897,2020-04-05,일,10,189,20,44692.3743188672,152.08437495582456,6797011.813576664,0,39,6,2020
6554,2020-06-29,월,14,189,10,39969.09401169155,221.8685624042256,8867885.428973347,0,39,6,2020
6603,2020-01-13,월,1,189,20,80605.16721591528,181.85527513688947,14658474.861505255,0,39,6,2020
6639,2021-11-25,목,24,189,20,69014.22205696945,151.24174066348857,10437831.074432584,0,39,6,2021
7093,2021-01-11,월,4,189,30,73781.75369036713,208.9829658837187,15419129.714314928,0,39,6,2021
7109,2021-03-10,수,6,189,10,65976.55395393622,138.14532673389309,9114352.602742843,0,39,6,2021
8285,2020-11-29,일,20,189,20,39706.84134578228,178.28687675608555,7079208.729388928,0,39,6,2020
8296,2020-07-01,수,4,189,20,48287.73742261199,166.3901000556641,8034601.461210044,0,39,6,2020
8709,2020-09-25,금,10,189,30,62679.25560920972,207.8699846513069,13029135.90144177,0,39,6,2020
66,2020-10-30,금,6,473,30,38385.69298542933,105.92434917703932,4065979.547191245,0,51,7,2020
78,2020-07-28,화,5,473,30,65853.43787107481,137.37863911987503,9046855.676093498,0,51,7,2020
1502,2020-12-31,목,14,473,30,52321.682070662064,103.28449411796768,5404018.464069471,0,51,7,2020
3385,2021-03-13,토,20,473,30,50412.61509669483,162.93043186164863,8213749.148979557,0,51,7,2021
3931,2020-08-13,목,21,473,30,65824.50334877316,226.5728987705302,14914048.533862006,0,51,7,2020
5024,2020-07-17,금,18,473,30,62038.93340471019,152.29394385108415,9448153.840518082,0,51,7,2020
6878,2021-12-29,수,4,473,30,50609.27191259325,152.06738176108675,7696019.472582962,0,51,7,2021
7872,2020-01-16,목,22,473,10,72188.79524766727,211.87596746326935,15295070.833107363,0,51,7,2020
8714,2020-12-03,목,6,473,30,40388.00327730433,220.39142008331535,8901169.396614697,0,51,7,2020
8755,2020-06-28,일,20,473,30,64475.69991657334,170.3296944784108,10982126.268071637,0,51,7,2020
67,2021-07-03,토,24,861,30,64151.5825232799,203.7851759092832,13073141.529365491,1,54,10,2021
613,2020-05-04,월,7,861,10,51339.13847179736,127.5682216049315,6549242.5935765095,1,54,10,2020
3817,2021-03-17,수,19,861,10,60362.15770774664,233.7783893072463,14111368.00402699,1,54,10,2021
3919,2020-06-26,금,6,861,20,37974.26056786925,267.12337602623086,10143812.684989007,1,54,10,2020
3985,2021-07-24,토,6,861,30,68848.83906514908,196.71154413775295,13543361.444597123,1,54,10,2021
4660,2021-08-24,화,19,861,20,53108.37597351466,83.98500835839269,4460307.40003629,1,54,10,2021
5734,2021-07-29,목,11,861,30,48313.24805187022,150.01033517250005,7247486.533533187,1,54,10,2021
6291,2021-04-24,토,12,861,10,70622.87287113862,200.67494352391805,14172241.024912586,1,54,10,2021
7103,2021-07-19,월,7,861,20,45735.27141682462,155.92657581072447,7131344.265799563,1,54,10,2021
7701,2020-11-27,금,24,861,20,35740.821248277105,229.20210059539585,8191871.30710967,1,54,10,2020
8901,2020-03-15,일,16,861,20,33637.68328862863,199.60770344110077,6714340.710322253,1,54,10,2020
9723,2021-08-03,화,3,861,10,64334.81227301702,143.59664563968315,9238263.240263963,1,54,10,2021
68,2021-08-09,월,21,809,10,37558.14391197064,175.55754405190095,6593615.50433342,1,15,3,2021
125,2020-01-19,일,11,809,20,80640.98989535868,135.49079171767912,10926111.56581951,1,15,3,2020
2376,2021-10-31,일,9,809,20,26181.418919673637,166.2622761713526,4352982.302980654,1,15,3,2021
3660,2020-12-13,일,5,809,20,79812.92599368948,150.16768747579042,11985322.527148752,1,15,3,2020
4103,2021-10-01,금,8,809,30,58728.174025254,224.98659191376444,13213051.723260364,1,15,3,2021
5401,2020-07-29,수,15,809,30,54360.15664796061,265.7088908891771,14443976.93149154,1,15,3,2020
6229,2020-10-13,화,12,809,20,47998.1906287375,112.24263279529109,5387443.285579765,1,15,3,2020
6728,2020-07-01,수,2,809,30,61398.384838287246,90.95551041225217,5584521.4314543,1,15,3,2020
7347,2021-12-11,토,4,809,30,55198.73278120789,163.55448550867663,9028000.34076138,1,15,3,2021
7510,2021-05-01,토,14,809,30,71393.51863005679,108.46882361371212,7743970.9794459,1,15,3,2021
9021,2021-12-29,수,16,809,20,57354.31117872157,176.1609388092751,10103589.302002894,1,15,3,2021
9211,2021-09-19,일,13,809,20,57866.35763200156,206.563647757796,11953085.91492342,1,15,3,2021
9323,2020-10-19,월,6,809,10,50571.71316016662,238.8042686761746,12076740.976914864,1,15,3,2020
69,2021-12-14,화,21,260,20,54924.62794558342,182.87478206924447,10044329.365782904,1,52,4,2021
513,2021-08-03,화,14,260,20,60101.9585639962,165.80496016546633,9965202.845569896,1,52,4,2021
1350,2020-05-05,화,20,260,20,31458.30293816736,88.56869198222091,2786220.7432139404,1,52,4,2020
2752,2020-05-26,화,23,260,30,36596.39454548706,175.29451326384353,6415147.169062733,1,52,4,2020
3193,2021-03-21,일,22,260,10,66283.03750992703,177.24581330386889,11748390.891697863,1,52,4,2021
3790,2020-10-12,월,3,260,10,58158.24444184993,201.80549774641915,11736653.46764544,1,52,4,2020
3798,2020-04-26,일,4,260,30,53121.41768933251,143.5095723778949,7623431.93670365,1,52,4,2020
4303,2020-04-09,목,20,260,30,55994.587307203496,155.33949981334737,8698171.184555799,1,52,4,2020
4954,2020-10-31,토,20,260,10,60666.606556699146,110.21727288986835,6686507.9301619865,1,52,4,2020
6421,2021-10-15,금,8,260,20,48071.42474578433,75.03102910065623,3606848.46901095,1,52,4,2021
6527,2020-11-20,금,13,260,30,44685.44696817116,126.2035631209228,5639462.627034239,1,52,4,2020
6794,2021-12-04,토,3,260,10,58512.81523209806,106.22298173973658,6215405.703939733,1,52,4,2021
7041,2021-10-11,월,4,260,30,41845.6228228461,188.72917551260724,7897489.894167284,1,52,4,2021
8137,2021-11-17,수,13,260,20,61527.78909838215,151.74505945661983,9336538.014968364,1,52,4,2021
8766,2021-05-14,금,4,260,30,31565.96363186945,150.87531906621467,4762524.834590833,1,52,4,2021
9415,2021-01-29,금,6,260,20,70341.06525916848,131.57194153860476,9254910.526042497,1,52,4,2021
70,2021-09-05,일,7,667,20,62441.11687101754,34.30776235037409,2142214.998502804,0,38,5,2021
1800,2021-08-29,일,14,667,20,59367.09124149431,239.41727058729413,14213506.947745424,0,38,5,2021
4047,2020-04-09,목,13,667,10,69681.53244963847,130.8858828643697,9120328.894013155,0,38,5,2020
4338,2021-02-15,월,22,667,30,79373.15955231732,156.31867475910306,12407507.112661084,0,38,5,2021
4741,2020-06-19,금,13,667,30,70131.19454379469,111.2171089996994,7799788.707856338,0,38,5,2020
6977,2020-01-13,월,12,667,20,29603.02623357072,216.21128145066533,6400508.236777987,0,38,5,2020
