t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region
6739,2021-08-23,월,12,307,20,34969.4,7.199999999999999,251779.68,1,50,4
7425,2020-10-05,월,17,307,10,6084.55,21.599999999999998,131426.28,1,50,4
7572,2020-09-29,화,13,307,30,19301.58,22.8,440076.02400000003,1,50,4
7686,2020-01-31,금,17,307,30,11796.58,120.0,1415589.6,1,50,4
8321,2020-10-24,토,13,307,10,34936.27,9.6,335388.192,1,50,4
9091,2021-07-16,금,16,307,10,41872.24,194.4,8139963.456,1,50,4
128,2020-01-18,토,8,241,20,19244.52,58.0,1116182.16,0,43,6
3345,2020-08-06,목,5,241,20,35715.08,87.0,3107211.96,0,43,6
3406,2020-01-09,목,21,241,20,17890.51,76.0,1359678.7599999998,0,43,6
3598,2020-03-07,토,14,241,20,29520.63,76.0,2243567.88,0,43,6
4294,2021-11-08,월,16,241,10,31001.06,93.0,2883098.58,0,43,6
4665,2021-11-19,금,11,241,10,44632.36,192.0,8569413.120000001,0,43,6
6725,2020-01-01,수,8,241,10,8255.91,55.0,454075.05,0,43,6
6779,2021-09-03,금,14,241,10,31973.7,73.0,2334080.1,0,43,6
130,2021-05-07,금,12,144,30,46355.21,72.0,3337575.12,1,14,5
326,2021-12-15,수,14,144,20,41727.22,12.6,525762.972,1,14,5
1607,2021-03-13,토,10,144,30,5039.9,20.519999999999996,103418.74799999998,1,14,5
1784,2020-03-21,토,1,144,30,47667.95,8.459999999999999,403270.85699999996,1,14,5
3293,2020-08-23,일,11,144,20,20263.15,23.04,466862.976,1,14,5
3441,2020-06-28,일,24,144,30,2955.19,8.639999999999999,25532.841599999996,1,14,5
7327,2020-09-07,월,17,144,20,47976.9,19.08,915399.252,1,14,5
7363,2021-12-16,목,1,144,30,26829.65,10.98,294589.55700000003,1,14,5
9397,2020-03-26,목,11,144,30,25173.01,1.0799999999999998,27186.850799999993,1,14,5
131,2020-07-31,금,1,731,20,46030.29,23.5,1081711.815,0,58,8
848,2021-02-04,목,15,731,10,1797.58,91.0,163579.78,0,58,8
1037,2021-10-24,일,6,731,20,28990.57,10.5,304400.985,0,58,8
2660,2021-04-29,목,13,731,30,15997.44,93.0,1487761.9200000002,0,58,8
3692,2021-07-30,금,3,731,10,28591.05,47.5,1358074.875,0,58,8
4211,2021-05-08,토,21,731,20,39230.0,21.0,823830.0,0,58,8
4559,2020-12-16,수,21,731,10,41495.44,148.0,6141325.12,0,58,8
8379,2021-07-10,토,18,731,10,24144.04,25.0,603601.0,0,58,8
8390,2021-07-08,목,4,731,30,47488.61,92.0,4368952.12,0,58,8
132,2021-08-17,화,7,442,20,7914.78,25.2,199452.45599999998,1,11,1
802,2020-11-17,화,3,442,10,9682.87,4.319999999999999,41829.9984,1,11,1
1986,2020-09-23,수,1,442,30,4244.29,16.74,71049.41459999999,1,11,1
2708,2021-12-21,화,15,442,20,46892.09,67.67999999999999,3173656.6511999993,1,11,1
3776,2020-09-10,목,24,442,10,26187.56,23.4,612788.904,1,11,1
4043,2021-06-12,토,9,442,10,26944.23,0.72,19399.8456,1,11,1
4918,2021-04-19,월,7,442,10,8525.39,12.959999999999999,110489.05439999998,1,11,1
6673,2021-11-06,토,10,442,30,42031.15,6.119999999999999,257230.63799999998,1,11,1
6896,2021-03-28,일,14,442,10,44907.23,8.28,371831.8644,1,11,1
7130,2020-06-09,화,21,442,20,31266.5,22.319999999999997,697868.2799999999,1,11,1
8883,2020-07-25,토,17,442,10,4914.03,16.2,79607.286,1,11,1
9651,2021-06-23,수,17,442,30,7415.75,6.4799999999999995,48054.06,1,11,1
133,2020-10-18,일,11,73,30,49143.97,89.0,4373813.33,0,65,9
405,2021-06-24,목,14,73,30,15544.8,27.0,419709.6,0,65,9
705,2020-08-31,월,17,73,30,5478.2,31.0,169824.19999999998,0,65,9
707,2021-05-22,토,7,73,10,44566.95,10.0,445669.5,0,65,9
1916,2021-12-28,화,5,73,20,7186.13,15.5,111385.015,0,65,9
2164,2020-09-06,일,7,73,10,41244.37,94.0,3876970.7800000003,0,65,9
2556,2020-03-21,토,17,73,20,14134.19,8.5,120140.615,0,65,9
3182,2020-05-10,일,4,73,20,8288.63,9.0,74597.67,0,65,9
4555,2020-08-07,금,9,73,30,20359.97,9.0,183239.73,0,65,9
5220,2021-12-02,목,18,73,30,38200.17,31.0,1184205.27,0,65,9
8993,2020-11-17,화,12,73,10,7150.05,0.5,3575.025,0,65,9
9869,2020-09-05,토,21,73,30,28566.42,30.5,871275.8099999999,0,65,9
134,2021-06-13,일,14,315,10,26780.39,2.88,77127.5232,1,14,1
171,2020-08-23,일,21,315,30,11803.92,6.4799999999999995,76489.4016,1,14,1
2140,2021-05-11,화,10,315,20,7315.5,7.56,55305.18,1,14,1
2648,2021-03-03,수,21,315,10,18142.38,25.2,457187.976,1,14,1
3746,2021-09-28,화,11,315,30,45041.42,23.04,1037754.3167999999,1,14,1
4652,2020-05-14,목,22,315,10,46420.31,71.28,3308839.6968,1,14,1
7262,2020-05-08,금,22,315,30,43902.02,14.399999999999999,632189.0879999999,1,14,1
9663,2021-04-28,수,13,315,30,23044.35,24.119999999999997,555829.722,1,14,1
9765,2021-12-21,화,15,315,20,46051.32,13.68,629982.0576,1,14,1
135,2020-08-30,일,19,474,30,6940.94,96.0,666330.24,1,43,8
2892,2021-05-02,일,15,474,20,36779.59,73.2,2692265.988,1,43,8
3856,2020-08-18,화,23,474,10,26639.29,61.199999999999996,1630324.548,1,43,8
5068,2021-01-30,토,17,474,20,48389.51,52.8,2554966.128,1,43,8
6165,2020-06-30,화,1,474,30,18310.96,19.2,351570.432,1,43,8
6196,2020-04-10,금,5,474,10,2471.36,10.2,25207.872,1,43,8
6804,2020-11-27,금,10,474,20,46366.21,55.199999999999996,2559414.792,1,43,8
136,2020-08-02,일,1,566,30,23643.88,42.0,993042.9600000001,0,29,8
566,2021-01-27,수,20,566,10,29528.28,94.0,2775658.32,0,29,8
3085,2020-01-19,일,1,566,20,31339.84,5.5,172369.12,0,29,8
4053,2020-01-08,수,24,566,20,10797.87,92.0,993404.04,0,29,8
7981,2020-07-01,수,14,566,10,11175.17,68.0,759911.56,0,29,8
137,2020-09-25,금,1,654,20,30640.27,20.75,635785.6025,0,71,6
790,2020-04-14,화,5,654,20,25027.25,6.75,168933.9375,0,71,6
2449,2021-04-27,화,8,654,30,37658.01,4.5,169461.045,0,71,6
3148,2021-03-02,화,15,654,10,43146.78,98.0,4228384.4399999995,0,71,6
4056,2020-09-26,토,11,654,20,41862.51,15.0,627937.65,0,71,6
4247,2021-09-29,수,22,654,30,13296.11,40.0,531844.4,0,71,6
7588,2020-10-11,일,24,654,30,10014.02,28.0,280392.56,0,71,6
9657,2020-10-04,일,11,654,30,7525.12,9.0,67726.08,0,71,6
138,2020-06-16,화,24,589,10,21254.4,26.7,567492.48,0,15,4
276,2021-04-14,수,1,589,20,4218.9,14.549999999999999,61384.99499999999,0,15,4
2327,2021-05-28,금,21,589,30,36221.79,57.0,2064642.03,0,15,4
3083,2020-06-04,목,19,589,10,45491.27,13.2,600484.764,0,15,4
4006,2021-10-29,금,2,589,30,49994.19,24.9,1244855.331,0,15,4
4227,2020-05-07,목,15,589,30,37189.22,15.299999999999999,568995.066,0,15,4
4405,2020-05-13,수,6,589,20,46096.55,8.85,407954.4675,0,15,4
5377,2021-12-12,일,4,589,30,29368.46,12.45,365637.327,0,15,4
6745,2021-12-16,목,8,589,30,4943.79,3.0,14831.369999999999,0,15,4
139,2020-01-29,수,6,218,30,19647.73,45.0,884147.85,0,53,5
3476,2021-05-13,목,8,218,20,12091.03,22.0,266002.66000000003,0,53,5
3761,2021-11-08,월,24,218,20,47610.15,192.0,9141148.8,0,53,5
4317,2021-06-04,금,13,218,20,9775.62,9.0,87980.58,0,53,5
6638,2020-11-14,토,24,218,20,23193.15,23.0,533442.4500000001,0,53,5
7515,2020-04-29,수,8,218,10,8411.19,68.0,571960.92,0,53,5
140,2020-05-04,월,17,130,30,26979.35,28.799999999999997,777005.2799999999,1,37,7
174,2021-06-19,토,18,130,10,29855.46,61.199999999999996,1827154.1519999998,1,37,7
1329,2020-06-07,일,7,130,10,38300.47,201.6,7721374.752,1,37,7
1596,2020-05-13,수,4,130,30,18025.45,18.0,324458.10000000003,1,37,7
4046,2020-09-06,일,5,130,20,24949.74,29.4,733522.356,1,37,7
5445,2021-02-10,수,8,130,10,44439.23,18.0,799906.14,1,37,7
6367,2021-02-10,수,15,130,30,24482.97,10.799999999999999,264416.076,1,37,7
6799,2020-02-15,토,21,130,10,19131.59,110.39999999999999,2112127.536,1,37,7
8308,2020-12-13,일,20,130,30,40195.61,75.6,3038788.116,1,37,7
9497,2020-07-24,금,6,130,20,30208.43,4.8,145000.464,1,37,7
9937,2020-06-07,일,14,130,10,19779.53,87.6,1732686.8279999997,1,37,7
141,2020-06-15,월,16,470,30,44824.59,20.0,896491.7999999999,0,53,6
206,2021-07-15,목,10,470,30,33101.49,60.0,1986089.4,0,53,6
1473,2021-09-26,일,20,470,10,48206.78,162.0,7809498.359999999,0,53,6
1825,2020-06-13,토,2,470,10,15164.87,18.5,280550.09500000003,0,53,6
2073,2021-11-28,일,21,470,30,46944.08,146.0,6853835.680000001,0,53,6
3307,2020-04-26,일,8,470,20,47355.56,54.0,2557200.2399999998,0,53,6
6197,2021-12-14,화,3,470,30,47025.11,87.0,4091184.57,0,53,6
7382,2021-12-17,금,2,470,30,24801.67,13.5,334822.545,0,53,6
7462,2020-11-16,월,15,470,20,23956.6,94.0,2251920.4,0,53,6
9577,2020-01-10,금,2,470,20,14188.06,38.0,539146.28,0,53,6
9632,2020-10-31,토,9,470,20,47945.37,170.0,8150712.9,0,53,6
9639,2020-03-26,목,18,470,20,17436.79,44.0,767218.76,0,53,6
142,2021-09-01,수,1,630,30,9464.36,51.0,482682.36000000004,1,50,4
956,2020-01-28,화,8,630,30,35829.44,75.6,2708705.664,1,50,4
1543,2020-11-23,월,4,630,10,45499.23,25.8,1173880.134,1,50,4
4983,2021-07-02,금,8,630,10,15927.63,110.39999999999999,1758410.3519999997,1,50,4
7023,2020-10-14,수,10,630,30,48500.9,33.6,1629630.2400000002,1,50,4
7545,2020-07-25,토,24,630,10,15592.9,98.39999999999999,1534341.3599999999,1,50,4
7937,2020-08-21,금,22,630,10,20564.52,94.8,1949516.496,1,50,4
8378,2020-10-05,월,8,630,10,46029.56,74.39999999999999,3424599.2639999995,1,50,4
8885,2021-01-30,토,21,630,30,13026.73,84.0,1094245.32,1,50,4
143,2021-11-10,수,13,305,30,21270.28,2.0,42540.56,0,75,7
689,2021-09-14,화,5,305,10,4468.62,4.0,17874.48,0,75,7
1496,2021-09-26,일,3,305,30,31632.16,4.0,126528.64,0,75,7
1762,2021-12-09,목,22,305,30,18388.75,26.5,487301.875,0,75,7
2052,2021-01-21,목,16,305,10,9071.41,25.0,226785.25,0,75,7
2980,2021-09-22,수,11,305,10,43087.42,27.0,1163360.3399999999,0,75,7
5481,2021-01-22,금,11,305,20,38670.13,11.0,425371.43,0,75,7
5982,2020-02-05,수,22,305,30,47571.9,8.5,404361.15,0,75,7
7055,2021-02-09,화,14,305,30,15151.11,32.0,484835.52,0,75,7
7451,2021-05-11,화,22,305,20,27442.8,1.0,27442.8,0,75,7
8212,2020-12-19,토,13,305,30,38388.42,20.0,767768.3999999999,0,75,7
8442,2020-01-21,화,11,305,10,11333.66,19.0,215339.54,0,75,7
9079,2021-09-15,수,23,305,20,43823.86,87.0,3812675.82,0,75,7
144,2020-05-01,금,15,342,20,8110.13,41.4,335759.382,1,65,8
972,2021-09-02,목,6,342,10,44847.33,44.4,1991221.452,1,65,8
2258,2020-10-21,수,21,342,20,20967.31,3.5999999999999996,75482.31599999999,1,65,8
3409,2021-04-19,월,24,342,20,6274.06,57.0,357621.42000000004,1,65,8
3876,2020-04-23,목,23,342,20,27558.33,33.6,925959.8880000002,1,65,8
6091,2021-11-27,토,18,342,30,29968.95,7.199999999999999,215776.43999999997,1,65,8
6468,2020-05-30,토,19,342,10,34748.15,23.4,813106.71,1,65,8
6635,2021-04-05,월,21,342,30,39417.98,32.4,1277142.5520000001,1,65,8
7854,2020-07-02,목,21,342,20,33944.68,25.8,875772.7440000001,1,65,8
7904,2020-03-06,금,12,342,20,49913.82,99.6,4971416.472,1,65,8
8727,2021-02-25,목,4,342,10,33272.15,58.199999999999996,1936439.13,1,65,8
9693,2020-10-29,목,24,342,10,18002.59,30.599999999999998,550879.254,1,65,8
9756,2020-06-03,수,6,342,30,37598.36,15.899999999999999,597813.924,1,65,8
145,2021-08-14,토,14,845,20,43585.49,24.5,1067844.505,0,62,10
512,2021-01-08,금,10,845,20,49394.13,4.5,222273.585,0,62,10
755,2020-10-09,금,15,845,30,4617.91,49.5,228586.54499999998,0,62,10
5740,2020-09-16,수,6,845,30,11676.67,6.5,75898.355,0,62,10
5935,2021-08-23,월,1,845,10,21491.95,22.5,483568.875,0,62,10
6121,2020-04-13,월,18,845,30,9511.93,14.5,137922.98500000002,0,62,10
7719,2020-10-17,토,15,845,20,26441.95,46.5,1229550.675,0,62,10
9697,2020-03-14,토,10,845,20,45559.2,96.0,4373683.199999999,0,62,10
146,2020-11-01,일,8,42,20,6926.23,7.8,54024.594,1,76,8
961,2021-05-03,월,13,42,30,12872.31,18.0,231701.58,1,76,8
4132,2020-06-02,화,1,42,30,32761.13,22.5,737125.425,1,76,8
4505,2020-06-30,화,16,42,30,6192.67,43.199999999999996,267523.344,1,76,8
4984,2021-03-27,토,8,42,30,29719.74,40.8,1212565.392,1,76,8
5144,2021-12-02,목,13,42,30,25206.04,26.4,665439.456,1,76,8
5458,2021-06-01,화,1,42,30,6734.79,15.299999999999999,103042.287,1,76,8
7111,2021-05-26,수,1,42,10,41505.77,14.1,585231.357,1,76,8
8206,2020-10-24,토,1,42,10,35664.82,9.6,342382.272,1,76,8
8657,2021-08-12,목,2,42,10,7318.69,17.7,129540.813,1,76,8
9324,2020-11-28,토,24,42,10,49123.71,99.6,4892721.516,1,76,8
9674,2021-09-16,목,11,42,10,7873.64,3.5999999999999996,28345.104,1,76,8
147,2021-08-09,월,14,302,30,1585.0,16.8,26628.0,1,58,6
2998,2021-08-03,화,20,302,10,3624.24,93.6,339228.86399999994,1,58,6
5181,2020-08-17,월,2,302,30,12155.43,6.6,80225.838,1,58,6
6378,2020-06-05,금,7,302,10,45104.04,25.2,1136621.808,1,58,6
8429,2020-08-20,목,6,302,20,30938.08,4.2,129939.93600000002,1,58,6
9290,2021-05-28,금,14,302,20,48426.91,206.4,9995314.224000001,1,58,6
9870,2021-06-13,일,5,302,20,17741.87,27.0,479030.49,1,58,6
148,2021-09-29,수,23,180,10,34743.49,6.84,237645.4716,1,10,2
4035,2020-12-03,목,15,180,30,10970.43,28.08,308049.6744,1,10,2
4084,2021-09-19,일,19,180,30,15830.44,0.72,11397.916799999999,1,10,2
5757,2020-05-22,금,6,180,30,9808.96,0.72,7062.4511999999995,1,10,2
6350,2020-12-20,일,16,180,10,27712.88,31.319999999999997,867967.4016,1,10,2
6560,2020-08-18,화,11,180,30,17329.61,33.12,573956.6832,1,10,2
7743,2020-03-23,월,1,180,20,15863.49,2.1599999999999997,34265.138399999996,1,10,2
8472,2020-02-02,일,21,180,30,14682.94,2.88,42286.8672,1,10,2
8641,2020-01-29,수,22,180,10,5886.17,11.52,67808.6784,1,10,2
9648,2020-01-09,목,6,180,20,8851.27,6.4799999999999995,57356.2296,1,10,2
9709,2020-07-16,목,10,180,20,38244.47,25.56,977528.6532,1,10,2
9818,2020-09-18,금,3,180,10,22302.46,3.42,76274.4132,1,10,2
9907,2020-11-18,수,15,180,10,39973.21,64.08,2561483.2967999997,1,10,2
149,2021-09-20,월,21,894,20,16519.23,8.4,138761.532,1,77,5
315,2020-11-12,목,5,894,20,44533.12,15.6,694716.672,1,77,5
1674,2020-10-18,일,5,894,30,20576.73,21.0,432111.33,1,77,5
3092,2020-05-29,금,22,894,10,4434.98,30.0,133049.4,1,77,5
4254,2020-08-24,월,3,894,30,34101.35,0.6,20460.809999999998,1,77,5
7456,2021-02-17,수,3,894,20,20582.12,27.0,555717.24,1,77,5
7732,2020-01-04,토,21,894,30,46896.78,24.0,1125522.72,1,77,5
8600,2021-10-30,토,24,894,20,15834.79,30.0,475043.7,1,77,5
8824,2021-06-21,월,15,894,30,17418.41,32.4,564356.4839999999,1,77,5
9287,2021-06-01,화,2,894,30,46378.11,17.4,806979.114,1,77,5
151,2020-09-16,수,3,831,30,37067.14,13.5,500406.39,0,58,4
2191,2021-09-16,목,14,831,20,48830.63,30.0,1464918.9,0,58,4
2412,2021-06-03,목,2,831,10,20085.27,4.0,80341.08,0,58,4
3162,2020-04-03,금,20,831,10,32002.22,9.0,288019.98,0,58,4
3501,2021-10-21,목,22,831,10,47743.3,32.0,1527785.6,0,58,4
4890,2021-04-12,월,8,831,30,26693.1,23.0,613941.2999999999,0,58,4
5580,2020-09-21,월,19,831,20,30857.26,38.0,1172575.88,0,58,4
6766,2021-09-27,월,1,831,10,38033.59,23.5,893789.3649999999,0,58,4
6769,2021-03-26,금,19,831,10,21759.79,92.0,2001900.6800000002,0,58,4
8192,2021-09-27,월,21,831,10,34859.45,174.0,6065544.3,0,58,4
9168,2021-03-11,목,5,831,20,6269.99,26.5,166154.735,0,58,4
9928,2021-03-05,금,20,831,30,3563.84,42.0,149681.28,0,58,4
152,2021-07-31,토,13,628,20,24567.53,42.5,1044120.0249999999,0,75,7
1823,2021-12-19,일,17,628,20,18374.36,16.0,293989.76,0,75,7
3596,2020-06-03,수,18,628,10,3112.37,32.0,99595.84,0,75,7
4858,2021-08-09,월,19,628,10,26112.55,39.0,1018389.45,0,75,7
6678,2021-07-30,금,22,628,10,19072.25,29.5,562631.375,0,75,7
6816,2021-02-06,토,22,628,10,25632.85,14.5,371676.32499999995,0,75,7
7001,2021-02-10,수,15,628,30,45924.62,69.0,3168798.7800000003,0,75,7
7948,2021-09-09,목,12,628,30,45548.52,81.0,3689430.1199999996,0,75,7
153,2020-08-15,토,20,410,20,39659.35,16.0,634549.6,0,79,3
2000,2020-05-31,일,21,410,10,36456.72,34.5,1257756.84,0,79,3
2021,2021-01-16,토,15,410,20,4889.04,49.5,242007.48,0,79,3
2026,2021-02-04,목,13,410,20,45447.14,7.0,318129.98,0,79,3
2658,2021-04-22,목,8,410,20,23405.82,40.0,936232.8,0,79,3
3670,2021-09-23,목,15,410,20,21866.61,46.5,1016797.365,0,79,3
3719,2021-09-15,수,22,410,20,44457.6,68.0,3023116.8,0,79,3
4610,2020-03-11,수,18,410,10,12469.73,28.0,349152.44,0,79,3
4844,2020-12-20,일,19,410,20,7903.46,1.0,7903.46,0,79,3
6127,2020-06-20,토,18,410,30,43285.85,32.0,1385147.2,0,79,3
8903,2020-12-01,화,23,410,20,11980.25,12.5,149753.125,0,79,3
9217,2021-04-21,수,21,410,10,1987.32,44.5,88435.73999999999,0,79,3
154,2021-09-02,목,19,665,20,14490.3,7.199999999999999,104330.15999999999,1,57,7
1599,2021-10-15,금,9,665,20,18672.3,90.0,1680507.0,1,57,7
2092,2020-02-19,수,22,665,10,14247.96,116.39999999999999,1658462.5439999998,1,57,7
2531,2020-09-14,월,8,665,30,6418.62,54.0,346605.48,1,57,7
2792,2020-05-21,목,12,665,30,39993.65,58.8,2351626.62,1,57,7
6031,2021-10-16,토,13,665,20,17190.61,56.4,969550.404,1,57,7
6289,2020-05-04,월,14,665,10,20863.03,8.4,175249.452,1,57,7
6383,2021-06-04,금,8,665,30,1529.83,28.799999999999997,44059.10399999999,1,57,7
7205,2021-12-16,목,10,665,30,1507.3,33.6,50645.28,1,57,7
7482,2020-11-28,토,22,665,30,48972.18,39.6,1939298.328,1,57,7
7722,2020-02-09,일,11,665,10,9822.32,12.0,117867.84,1,57,7
8061,2020-11-28,토,16,665,10,1802.23,31.2,56229.576,1,57,7
8309,2020-07-14,화,23,665,30,28238.05,76.8,2168682.2399999998,1,57,7
155,2020-11-21,토,18,158,30,28081.04,28.0,786269.12,0,59,5
1896,2021-06-26,토,16,158,10,26768.11,10.0,267681.1,0,59,5
2669,2020-05-07,목,16,158,10,8552.86,9.0,76975.74,0,59,5
2688,2021-04-07,수,9,158,20,11199.55,51.0,571177.0499999999,0,59,5
3151,2021-08-31,화,19,158,10,49937.79,38.0,1897636.02,0,59,5
3734,2020-06-15,월,8,158,20,23423.89,57.0,1335161.73,0,59,5
4562,2021-12-21,화,16,158,30,42889.69,50.0,2144484.5,0,59,5
7571,2021-06-08,화,2,158,10,30673.36,31.0,950874.16,0,59,5
8584,2020-10-11,일,7,158,20,47893.27,186.0,8908148.219999999,0,59,5
8956,2020-05-27,수,8,158,30,17530.81,46.0,806417.26,0,59,5
8986,2020-10-04,일,2,158,30,42340.16,15.5,656272.4800000001,0,59,5
156,2021-06-09,수,24,935,10,26301.41,32.0,841645.12,0,33,6
404,2021-11-24,수,12,935,30,36241.2,2.0,72482.4,0,33,6
660,2020-10-02,금,12,935,20,30534.91,88.0,2687072.08,0,33,6
2007,2020-07-20,월,2,935,10,3480.08,45.0,156603.6,0,33,6
2659,2021-09-22,수,10,935,10,12242.86,13.0,159157.18,0,33,6
2952,2021-10-09,토,3,935,10,44903.06,11.5,516385.18999999994,0,33,6
5918,2020-11-22,일,15,935,30,37690.96,198.0,7462810.08,0,33,6
7964,2021-01-28,목,18,935,10,16523.33,64.0,1057493.12,0,33,6
8210,2020-05-01,금,24,935,30,20765.03,69.0,1432787.0699999998,0,33,6
9381,2021-01-09,토,15,935,10,4950.98,27.0,133676.46,0,33,6
9857,2020-09-28,월,10,935,30,33972.55,72.0,2446023.6,0,33,6
158,2020-11-14,토,8,585,30,18900.29,2.4,45360.696,1,69,9
592,2020-08-15,토,2,585,20,22630.92,19.5,441302.93999999994,1,69,9
1317,2020-02-18,화,24,585,30,32462.26,29.4,954390.4439999999,1,69,9
1389,2020-01-23,목,5,585,30,3948.88,29.4,116097.072,1,69,9
1509,2020-11-03,화,17,585,30,14199.73,42.0,596388.66,1,69,9
2594,2020-07-11,토,2,585,10,11192.38,19.2,214893.69599999997,1,69,9
3304,2021-01-25,월,3,585,20,30955.06,58.8,1820157.528,1,69,9
4451,2020-06-15,월,15,585,30,48273.79,109.2,5271497.868,1,69,9
5050,2021-06-11,금,2,585,30,49817.42,11.7,582863.8139999999,1,69,9
5225,2020-08-03,월,23,585,30,29812.25,41.4,1234227.15,1,69,9
6190,2020-07-10,금,22,585,30,19924.52,40.199999999999996,800965.7039999999,1,69,9
7687,2020-11-07,토,11,585,10,17756.88,43.199999999999996,767097.216,1,69,9
8072,2021-04-24,토,17,585,10,48391.41,31.799999999999997,1538846.838,1,69,9
8376,2021-11-30,화,4,585,10,2588.36,19.2,49696.512,1,69,9
9238,2021-08-04,수,15,585,30,21174.14,15.0,317612.1,1,69,9
159,2021-01-10,일,18,806,10,14248.26,48.6,692465.436,1,80,10
781,2020-11-05,목,7,806,20,5360.94,50.4,270191.376,1,80,10
2296,2020-03-27,금,15,806,30,12004.13,9.6,115239.64799999999,1,80,10
2680,2020-08-16,일,16,806,20,31661.22,38.4,1215790.848,1,80,10
2690,2021-10-05,화,6,806,10,1396.75,28.799999999999997,40226.399999999994,1,80,10
3339,2021-06-11,금,23,806,10,28428.39,32.4,921079.8359999999,1,80,10
4213,2021-08-28,토,12,806,30,32999.28,49.199999999999996,1623564.576,1,80,10
5499,2020-04-25,토,12,806,10,30022.1,38.4,1152848.64,1,80,10
5545,2021-03-17,수,18,806,20,34616.91,115.19999999999999,3987868.032,1,80,10
5976,2021-04-14,수,3,806,20,1104.52,6.6,7289.831999999999,1,80,10
7312,2021-08-18,수,11,806,10,36886.8,120.0,4426416.0,1,80,10
7624,2020-12-01,화,23,806,30,21902.17,13.799999999999999,302249.94599999994,1,80,10
8821,2020-10-13,화,2,806,20,49487.6,58.8,2909870.88,1,80,10
160,2020-11-28,토,17,14,10,2871.05,76.8,220496.64,1,27,5
749,2020-03-08,일,12,14,20,46549.71,75.6,3519158.076,1,27,5
1467,2020-10-28,수,22,14,30,44474.37,20.4,907277.148,1,27,5
2238,2021-01-10,일,20,14,10,8178.17,18.0,147207.06,1,27,5
2920,2020-09-01,화,23,14,20,39492.75,194.4,7677390.600000001,1,27,5
3697,2020-01-30,목,21,14,10,25975.12,16.8,436382.016,1,27,5
3996,2021-04-23,금,9,14,10,1018.77,110.39999999999999,112472.20799999998,1,27,5
5425,2021-04-17,토,9,14,10,22700.45,61.199999999999996,1389267.54,1,27,5
5593,2021-05-06,목,5,14,20,22823.91,45.0,1027075.95,1,27,5
7898,2021-09-21,화,16,14,20,31684.95,48.0,1520877.6,1,27,5
9051,2021-01-13,수,18,14,30,7367.69,94.8,698457.012,1,27,5
9403,2020-12-07,월,8,14,20,48206.58,213.6,10296925.488,1,27,5
162,2021-03-06,토,5,171,30,5112.31,51.6,263795.19600000005,1,56,5
2097,2020-04-15,수,1,171,10,48607.87,74.39999999999999,3616425.528,1,56,5
2203,2020-05-06,수,20,171,30,29824.94,49.199999999999996,1467387.0479999997,1,56,5
2422,2021-05-21,금,7,171,30,40509.48,50.4,2041677.7920000001,1,56,5
3519,2021-07-21,수,19,171,10,26745.69,12.0,320948.27999999997,1,56,5
4349,2020-02-27,목,13,171,20,23766.11,56.4,1340408.604,1,56,5
163,2021-09-29,수,9,576,20,29331.79,35.64,1045384.9956,1,14,6
842,2021-07-27,화,6,576,30,45412.58,0.5399999999999999,24522.793199999996,1,14,6
1680,2020-08-15,토,5,576,30,34944.74,4.5,157251.33,1,14,6
2565,2021-12-17,금,24,576,20,38842.63,9.719999999999999,377550.3635999999,1,14,6
3658,2020-05-28,목,10,576,10,22978.81,20.88,479797.5528,1,14,6
3703,2020-05-19,화,19,576,10,19537.65,10.44,203973.066,1,14,6
5860,2021-10-16,토,2,576,20,21167.27,12.059999999999999,255277.27619999996,1,14,6
6093,2020-01-24,금,8,576,10,43433.25,22.319999999999997,969430.1399999999,1,14,6
6210,2020-10-12,월,4,576,10,20790.89,2.6999999999999997,56135.40299999999,1,14,6
7504,2020-12-29,화,8,576,20,49143.1,15.12,743043.6719999999,1,14,6
8247,2020-11-21,토,16,576,30,13876.95,15.12,209819.484,1,14,6
8925,2021-11-21,일,14,576,10,23920.99,10.08,241123.5792,1,14,6
9188,2020-01-30,목,13,576,20,9699.15,1.0799999999999998,10475.081999999999,1,14,6
164,2020-05-10,일,10,748,20,46772.69,11.5,537885.935,0,77,5
986,2021-07-29,목,12,748,20,17170.07,48.5,832748.395,0,77,5
2181,2020-11-29,일,8,748,30,48117.93,1.0,48117.93,0,77,5
3818,2021-08-18,수,10,748,20,24372.4,43.0,1048013.2000000001,0,77,5
4297,2021-05-17,월,3,748,10,45746.32,5.0,228731.6,0,77,5
6170,2021-01-11,월,23,748,10,47837.29,27.5,1315525.475,0,77,5
6503,2020-01-26,일,24,748,30,11163.93,16.0,178622.88,0,77,5
7460,2020-07-05,일,1,748,30,18205.34,5.0,91026.7,0,77,5
9909,2020-08-31,월,11,748,10,40151.5,21.5,863257.25,0,77,5
165,2021-11-20,토,23,3,30,24621.38,5.3999999999999995,132955.452,0,12,10
5382,2021-09-30,목,20,3,30,31288.96,23.099999999999998,722774.9759999999,0,12,10
5417,2020-08-14,금,19,3,20,40319.2,0.8999999999999999,36287.27999999999,0,12,10
5864,2021-11-02,화,15,3,20,21823.83,2.4,52377.192,0,12,10
7015,2020-03-26,목,23,3,30,12457.46,27.599999999999998,343825.89599999995,0,12,10
166,2020-07-16,목,4,753,20,37095.56,10.5,389503.38,0,76,5
1157,2021-11-07,일,24,753,30,37872.1,29.5,1117226.95,0,76,5
